#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 03 15 26 999 99.0 99.0  3.47  7.14  6.11  35 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 03 15 56 999 99.0 99.0  3.36  7.69  6.08  41 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 03 16 26 999 99.0 99.0  3.64  7.69  6.39  40 9999.0 999.0  12.3 999.0 99.0 99.00
2022 01 03 16 56 999 99.0 99.0  3.63  9.09  6.63  42 9999.0 999.0  12.3 999.0 99.0 99.00
2022 01 03 17 26 999 99.0 99.0  3.87  8.33  6.72  45 9999.0 999.0  12.3 999.0 99.0 99.00
2022 01 03 17 56 999 99.0 99.0  3.88  8.33  6.56  47 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 03 18 26 999 99.0 99.0  3.54  9.09  6.17  49 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 03 18 56 999 99.0 99.0  3.95  9.09  6.48  49 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 03 19 26 999 99.0 99.0  3.76  8.33  6.41  40 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 03 19 56 999 99.0 99.0  3.68  9.09  6.27  44 9999.0 999.0  12.0 999.0 99.0 99.00
2022 01 03 20 26 999 99.0 99.0  3.66  9.09  6.56  47 9999.0 999.0  11.9 999.0 99.0 99.00
2022 01 03 20 56 999 99.0 99.0  3.71  9.88  6.64  54 9999.0 999.0  11.8 999.0 99.0 99.00
2022 01 03 21 26 999 99.0 99.0  3.55  9.88  6.27  54 9999.0 999.0  11.8 999.0 99.0 99.00
2022 01 03 21 56 999 99.0 99.0  3.33  9.88  6.49  49 9999.0 999.0  11.8 999.0 99.0 99.00
2022 01 03 22 26 999 99.0 99.0  3.34  9.88  6.48  61 9999.0 999.0  11.8 999.0 99.0 99.00
2022 01 03 22 56 999 99.0 99.0  3.55  9.88  6.61  59 9999.0 999.0  11.8 999.0 99.0 99.00
2022 01 03 23 26 999 99.0 99.0  3.56 10.53  6.94  64 9999.0 999.0  11.7 999.0 99.0 99.00
2022 01 03 23 56 999 99.0 99.0  3.28 10.53  6.64  62 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 04 00 26 999 99.0 99.0  3.24  9.88  6.55  51 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 04 00 56 999 99.0 99.0  3.22 10.53  6.83  57 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 04 01 26 999 99.0 99.0  3.27 10.53  6.57  55 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 04 01 56 999 99.0 99.0  3.18  9.88  6.65  55 9999.0 999.0  11.5 999.0 99.0 99.00
2022 01 04 02 26 999 99.0 99.0  2.96  9.88  6.67  58 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 04 02 56 999 99.0 99.0  2.91  9.88  6.49  61 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 04 03 26 999 99.0 99.0  2.97 10.53  6.43  59 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 04 03 56 999 99.0 99.0  2.62 11.11  6.09  66 9999.0 999.0  11.1 999.0 99.0 99.00
2022 01 04 04 26 999 99.0 99.0  2.75 11.76  6.43  66 9999.0 999.0  11.1 999.0 99.0 99.00
2022 01 04 04 56 999 99.0 99.0  2.72 10.53  6.35  62 9999.0 999.0  11.0 999.0 99.0 99.00
2022 01 04 05 26 999 99.0 99.0  2.76 11.11  6.75  65 9999.0 999.0  10.9 999.0 99.0 99.00
2022 01 04 05 56 999 99.0 99.0  2.68  9.88  6.61  57 9999.0 999.0  10.9 999.0 99.0 99.00
2022 01 04 06 26 999 99.0 99.0  2.64 11.11  6.66  57 9999.0 999.0  10.9 999.0 99.0 99.00
2022 01 04 06 56 999 99.0 99.0  2.50 11.76  6.37  64 9999.0 999.0  10.9 999.0 99.0 99.00
2022 01 04 07 26 999 99.0 99.0  2.70 10.53  6.48  69 9999.0 999.0  10.9 999.0 99.0 99.00
2022 01 04 07 56 999 99.0 99.0  2.51 10.53  6.08  66 9999.0 999.0  10.9 999.0 99.0 99.00
2022 01 04 08 26 999 99.0 99.0  2.64 10.53  6.30  59 9999.0 999.0  10.8 999.0 99.0 99.00
2022 01 04 08 56 999 99.0 99.0  2.52 11.11  6.24  64 9999.0 999.0  10.8 999.0 99.0 99.00
2022 01 04 09 26 999 99.0 99.0  2.45 10.53  6.26  62 9999.0 999.0  10.8 999.0 99.0 99.00
2022 01 04 09 56 999 99.0 99.0  2.35 11.76  6.18  62 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 10 26 999 99.0 99.0  2.48 10.53  6.23  64 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 10 56 999 99.0 99.0  2.42 10.53  6.23  54 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 11 26 999 99.0 99.0  2.40  8.33  5.96  55 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 11 56 999 99.0 99.0  2.48 10.53  6.20  57 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 12 26 999 99.0 99.0  2.42 10.53  6.34  61 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 12 56 999 99.0 99.0  2.35 11.76  6.08  66 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 13 26 999 99.0 99.0  2.30 11.11  6.10  61 9999.0 999.0  10.7 999.0 99.0 99.00
